conditions,image_file,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_response_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
1,D:\收集箱\图片\三体\timg.jpg,0,0,0,0,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
2,D:\收集箱\图片\三体\红岸基地.jpg,0,1,1,1,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
4,D:\收集箱\图片\三体\三体2.png,0,2,2,3,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
3,D:\收集箱\图片\三体\三体.jpg,0,3,3,2,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
4,D:\收集箱\图片\三体\三体2.png,1,0,4,3,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
3,D:\收集箱\图片\三体\三体.jpg,1,1,5,2,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
1,D:\收集箱\图片\三体\timg.jpg,1,2,6,0,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
2,D:\收集箱\图片\三体\红岸基地.jpg,1,3,7,1,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
4,D:\收集箱\图片\三体\三体2.png,2,0,8,3,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
2,D:\收集箱\图片\三体\红岸基地.jpg,2,1,9,1,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
1,D:\收集箱\图片\三体\timg.jpg,2,2,10,0,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
3,D:\收集箱\图片\三体\三体.jpg,2,3,11,2,None,3,001,2018_Dec_25_2325,toast,3.0.0b13,60.09341889019554,
