6.8178 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.0054 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0F00E970>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1CC7FB70>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.0055 	EXP 	window1: recordFrameIntervals = False
8.1717 	EXP 	window1: recordFrameIntervals = True
8.2396 	WARNING 	t of last frame was 34.82ms (=1/28)
8.2717 	WARNING 	t of last frame was 32.10ms (=1/31)
8.4383 	EXP 	window1: recordFrameIntervals = False
8.5361 	EXP 	Created instruction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instruction', opacity=1.0, ori=0, pos=array([0. , 0.8]), rgb=array([255., 255., 255.]), text='指导语：\n现在你想要连接wifi', units='norm', win=Window(...), wrapWidth=1)
8.5413 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128, units='norm', win=Window(...))
8.5447 	EXP 	Created toast = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='toast', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([0.5, 0.2]), texRes=128, units='norm', win=Window(...))
8.5621 	EXP 	Imported ..\..\收集箱\toast study\conditions.xlsx as conditions, 4 conditions, 2 params
8.5624 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
8.5627 	EXP 	New trial (rep=0, index=0): OrderedDict([('conditions', 1), ('image_file', 'D:\\收集箱\\图片\\三体\\timg.jpg')])
8.6551 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\timg.jpg'
8.6551 	EXP 	instruction: autoDraw = True
8.6551 	EXP 	background: autoDraw = True
10.5883 	EXP 	toast: autoDraw = True
15.5719 	EXP 	toast: autoDraw = False
17.0562 	DATA 	Keypress: space
17.0571 	EXP 	New trial (rep=0, index=1): OrderedDict([('conditions', 2), ('image_file', 'D:\\收集箱\\图片\\三体\\红岸基地.jpg')])
17.1554 	EXP 	instruction: autoDraw = False
17.1554 	EXP 	background: autoDraw = False
17.1554 	EXP 	toast: autoDraw = False
17.1554 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\红岸基地.jpg'
17.1554 	EXP 	instruction: autoDraw = True
17.1554 	EXP 	background: autoDraw = True
17.7559 	DATA 	Keypress: space
17.7568 	EXP 	New trial (rep=0, index=2): OrderedDict([('conditions', 4), ('image_file', 'D:\\收集箱\\图片\\三体\\三体2.png')])
17.8723 	EXP 	instruction: autoDraw = False
17.8723 	EXP 	background: autoDraw = False
17.8723 	EXP 	toast: autoDraw = False
17.8723 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体2.png'
17.8723 	EXP 	instruction: autoDraw = True
17.8723 	EXP 	background: autoDraw = True
18.2561 	DATA 	Keypress: space
18.2571 	EXP 	New trial (rep=0, index=3): OrderedDict([('conditions', 3), ('image_file', 'D:\\收集箱\\图片\\三体\\三体.jpg')])
18.4728 	EXP 	instruction: autoDraw = False
18.4728 	EXP 	background: autoDraw = False
18.4728 	EXP 	toast: autoDraw = False
18.4728 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体.jpg'
18.4728 	EXP 	instruction: autoDraw = True
18.4728 	EXP 	background: autoDraw = True
18.7895 	DATA 	Keypress: space
18.7904 	EXP 	New trial (rep=1, index=0): OrderedDict([('conditions', 4), ('image_file', 'D:\\收集箱\\图片\\三体\\三体2.png')])
18.9057 	EXP 	instruction: autoDraw = False
18.9057 	EXP 	background: autoDraw = False
18.9057 	EXP 	toast: autoDraw = False
18.9057 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体2.png'
18.9057 	EXP 	instruction: autoDraw = True
18.9057 	EXP 	background: autoDraw = True
20.5062 	DATA 	Keypress: space
20.5070 	EXP 	New trial (rep=1, index=1): OrderedDict([('conditions', 3), ('image_file', 'D:\\收集箱\\图片\\三体\\三体.jpg')])
20.7056 	EXP 	instruction: autoDraw = False
20.7056 	EXP 	background: autoDraw = False
20.7056 	EXP 	toast: autoDraw = False
20.7056 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体.jpg'
20.7056 	EXP 	instruction: autoDraw = True
20.7056 	EXP 	background: autoDraw = True
21.0731 	DATA 	Keypress: space
21.0738 	EXP 	New trial (rep=1, index=2): OrderedDict([('conditions', 1), ('image_file', 'D:\\收集箱\\图片\\三体\\timg.jpg')])
21.1559 	EXP 	instruction: autoDraw = False
21.1559 	EXP 	background: autoDraw = False
21.1559 	EXP 	toast: autoDraw = False
