24.0895 	EXP 	New trial (rep=2, index=0): OrderedDict([('conditions', 1), ('image_file', 'D:\\收集箱\\图片\\三体\\timg.jpg')])
24.1552 	EXP 	background: autoDraw = True
24.1552 	EXP 	instruction: autoDraw = False
24.1552 	EXP 	background: autoDraw = False
24.1552 	EXP 	toast: autoDraw = False
24.1552 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\timg.jpg'
24.1552 	EXP 	instruction: autoDraw = True
24.4226 	DATA 	Keypress: space
24.4236 	EXP 	New trial (rep=2, index=1): OrderedDict([('conditions', 2), ('image_file', 'D:\\收集箱\\图片\\三体\\红岸基地.jpg')])
24.5216 	EXP 	background: autoDraw = True
24.5216 	EXP 	instruction: autoDraw = False
24.5216 	EXP 	background: autoDraw = False
24.5216 	EXP 	toast: autoDraw = False
24.5216 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\红岸基地.jpg'
24.5216 	EXP 	instruction: autoDraw = True
24.7053 	DATA 	Keypress: space
24.7061 	EXP 	New trial (rep=2, index=2): OrderedDict([('conditions', 4), ('image_file', 'D:\\收集箱\\图片\\三体\\三体2.png')])
24.8217 	EXP 	background: autoDraw = True
24.8217 	EXP 	instruction: autoDraw = False
24.8217 	EXP 	background: autoDraw = False
24.8217 	EXP 	toast: autoDraw = False
24.8217 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体2.png'
24.8217 	EXP 	instruction: autoDraw = True
24.9887 	DATA 	Keypress: space
24.9898 	EXP 	New trial (rep=2, index=3): OrderedDict([('conditions', 3), ('image_file', 'D:\\收集箱\\图片\\三体\\三体.jpg')])
25.1886 	EXP 	background: autoDraw = True
25.1886 	EXP 	instruction: autoDraw = False
25.1886 	EXP 	background: autoDraw = False
25.1886 	EXP 	toast: autoDraw = False
25.1886 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体.jpg'
25.1886 	EXP 	instruction: autoDraw = True
25.2397 	DATA 	Keypress: space
25.2559 	EXP 	New trial (rep=3, index=0): OrderedDict([('conditions', 4), ('image_file', 'D:\\收集箱\\图片\\三体\\三体2.png')])
25.3715 	EXP 	background: autoDraw = True
25.3715 	EXP 	instruction: autoDraw = False
25.3715 	EXP 	background: autoDraw = False
25.3715 	EXP 	toast: autoDraw = False
25.3715 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体2.png'
25.3715 	EXP 	instruction: autoDraw = True
25.9887 	DATA 	Keypress: space
25.9898 	EXP 	New trial (rep=3, index=1): OrderedDict([('conditions', 1), ('image_file', 'D:\\收集箱\\图片\\三体\\timg.jpg')])
26.0552 	EXP 	background: autoDraw = True
26.0552 	EXP 	instruction: autoDraw = False
26.0552 	EXP 	background: autoDraw = False
26.0552 	EXP 	toast: autoDraw = False
26.0552 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\timg.jpg'
26.0552 	EXP 	instruction: autoDraw = True
26.5059 	DATA 	Keypress: escape
26.6477 	EXP 	window1: mouseVisible = True
