7.4476 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.6833 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0F02D970>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1C860B70>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.6834 	EXP 	window1: recordFrameIntervals = False
8.8827 	EXP 	window1: recordFrameIntervals = True
9.0665 	WARNING 	t of last frame was 34.12ms (=1/29)
9.1330 	WARNING 	t of last frame was 33.90ms (=1/29)
9.3010 	EXP 	window1: recordFrameIntervals = False
9.4114 	EXP 	Created instruction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instruction', opacity=1.0, ori=0, pos=array([0. , 0.8]), rgb=array([255., 255., 255.]), text='指导语：\n现在你想要连接wifi', units='norm', win=Window(...), wrapWidth=1)
9.4211 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128, units='norm', win=Window(...))
9.4236 	EXP 	Created toast = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='toast', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([0.5, 0.2]), texRes=128, units='norm', win=Window(...))
9.4405 	EXP 	Imported ..\..\收集箱\toast study\conditions.xlsx as conditions, 4 conditions, 2 params
9.4409 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
9.4412 	EXP 	New trial (rep=0, index=0): OrderedDict([('conditions', 2), ('image_file', 'D:\\收集箱\\图片\\三体\\红岸基地.jpg')])
9.5324 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\红岸基地.jpg'
9.5324 	EXP 	instruction: autoDraw = True
9.5324 	EXP 	toast: autoDraw = True
10.3506 	DATA 	Keypress: space
10.3516 	EXP 	New trial (rep=0, index=1): OrderedDict([('conditions', 3), ('image_file', 'D:\\收集箱\\图片\\三体\\三体.jpg')])
10.5497 	EXP 	instruction: autoDraw = False
10.5497 	EXP 	background: autoDraw = False
10.5497 	EXP 	toast: autoDraw = False
10.5497 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体.jpg'
10.5497 	EXP 	instruction: autoDraw = True
10.5497 	EXP 	toast: autoDraw = True
11.3020 	DATA 	Keypress: space
11.3033 	EXP 	New trial (rep=0, index=2): OrderedDict([('conditions', 4), ('image_file', 'D:\\收集箱\\图片\\三体\\三体2.png')])
11.4333 	EXP 	instruction: autoDraw = False
11.4333 	EXP 	background: autoDraw = False
11.4333 	EXP 	toast: autoDraw = False
11.4333 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体2.png'
11.4333 	EXP 	instruction: autoDraw = True
11.4333 	EXP 	toast: autoDraw = True
13.0852 	DATA 	Keypress: return
13.1002 	EXP 	background: autoDraw = True
15.3340 	DATA 	Keypress: space
15.3350 	EXP 	New trial (rep=0, index=3): OrderedDict([('conditions', 1), ('image_file', 'D:\\收集箱\\图片\\三体\\timg.jpg')])
15.3997 	EXP 	instruction: autoDraw = False
15.3997 	EXP 	background: autoDraw = False
15.3997 	EXP 	toast: autoDraw = False
15.3997 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\timg.jpg'
15.3997 	EXP 	instruction: autoDraw = True
15.3997 	EXP 	toast: autoDraw = True
16.5836 	DATA 	Keypress: space
16.5843 	EXP 	New trial (rep=1, index=0): OrderedDict([('conditions', 4), ('image_file', 'D:\\收集箱\\图片\\三体\\三体2.png')])
16.6828 	EXP 	instruction: autoDraw = False
16.6828 	EXP 	background: autoDraw = False
16.6828 	EXP 	toast: autoDraw = False
16.6828 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体2.png'
16.6828 	EXP 	instruction: autoDraw = True
16.6828 	EXP 	toast: autoDraw = True
17.6170 	DATA 	Keypress: space
17.6178 	EXP 	New trial (rep=1, index=1): OrderedDict([('conditions', 1), ('image_file', 'D:\\收集箱\\图片\\三体\\timg.jpg')])
17.6835 	EXP 	instruction: autoDraw = False
17.6835 	EXP 	background: autoDraw = False
17.6835 	EXP 	toast: autoDraw = False
17.6835 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\timg.jpg'
17.6835 	EXP 	instruction: autoDraw = True
17.6835 	EXP 	toast: autoDraw = True
18.4342 	DATA 	Keypress: return
18.4496 	EXP 	background: autoDraw = True
19.2339 	DATA 	Keypress: space
