conditions,image_file,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,key_response_2.keys,key_response_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,D:\收集箱\图片\三体\timg.jpg,0,0,0,0,,,,,space,0.7342750650714152,,,41,001,2018_Dec_26_0041,toast,3.0.0b13,60.102725071377755,
2,D:\收集箱\图片\三体\红岸基地.jpg,0,1,1,1,,,,,space,0.48369207003270276,,,41,001,2018_Dec_26_0041,toast,3.0.0b13,60.102725071377755,
4,D:\收集箱\图片\三体\三体2.png,0,2,2,3,,,,,space,0.38405720208538696,,,41,001,2018_Dec_26_0041,toast,3.0.0b13,60.102725071377755,
3,D:\收集箱\图片\三体\三体.jpg,0,3,3,2,,,,,space,0.2342197923862841,,,41,001,2018_Dec_26_0041,toast,3.0.0b13,60.102725071377755,
,,,,,,0,0,0,0,,,space,0.5508080475847237,41,001,2018_Dec_26_0041,toast,3.0.0b13,60.102725071377755,
