conditions,image_file,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,key_response_2.keys,key_response_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
3,D:\收集箱\图片\三体\三体.jpg,0,0,0,2,space,7.753063892712817,1,001,2018_Dec_26_0025,toast,3.0.0b13,60.00969297704029,
4,D:\收集箱\图片\三体\三体2.png,0,1,1,3,space,3.8683961977949366,1,001,2018_Dec_26_0025,toast,3.0.0b13,60.00969297704029,
