conditions,image_file,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,key_response_2.keys,key_response_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,material\timg.jpg,0,0,0,0,,,,,space,0.5671790078049526,,,2210,001,2018_Dec_26_2210,toast,3.0.0b13,59.94660347184856,
4,material\三体2.png,0,1,1,3,,,,,space,0.4178195196436718,,,2210,001,2018_Dec_26_2210,toast,3.0.0b13,59.94660347184856,
3,material\三体.jpg,0,2,2,2,,,,,space,0.751014232635498,,,2210,001,2018_Dec_26_2210,toast,3.0.0b13,59.94660347184856,
2,material\红岸基地.jpg,0,3,3,1,,,,,space,0.2679175559314899,,,2210,001,2018_Dec_26_2210,toast,3.0.0b13,59.94660347184856,
,,,,,,0,0,0,0,,,space,1.3005616755690426,2210,001,2018_Dec_26_2210,toast,3.0.0b13,59.94660347184856,
