conditions,image_file,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_response_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
2,D:\收集箱\图片\三体\红岸基地.jpg,0,0,0,1,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
3,D:\收集箱\图片\三体\三体.jpg,0,1,1,2,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
4,D:\收集箱\图片\三体\三体2.png,0,2,2,3,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
1,D:\收集箱\图片\三体\timg.jpg,0,3,3,0,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
4,D:\收集箱\图片\三体\三体2.png,1,0,4,3,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
1,D:\收集箱\图片\三体\timg.jpg,1,1,5,0,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
2,D:\收集箱\图片\三体\红岸基地.jpg,1,2,6,1,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
3,D:\收集箱\图片\三体\三体.jpg,1,3,7,2,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
4,D:\收集箱\图片\三体\三体2.png,2,0,8,3,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
1,D:\收集箱\图片\三体\timg.jpg,2,1,9,0,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
2,D:\收集箱\图片\三体\红岸基地.jpg,2,2,10,1,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
3,D:\收集箱\图片\三体\三体.jpg,2,3,11,2,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
1,D:\收集箱\图片\三体\timg.jpg,3,0,12,0,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
2,D:\收集箱\图片\三体\红岸基地.jpg,3,1,13,1,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
4,D:\收集箱\图片\三体\三体2.png,3,2,14,3,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
3,D:\收集箱\图片\三体\三体.jpg,3,3,15,2,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
4,D:\收集箱\图片\三体\三体2.png,4,0,16,3,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
1,D:\收集箱\图片\三体\timg.jpg,4,1,17,0,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
3,D:\收集箱\图片\三体\三体.jpg,4,2,18,2,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
2,D:\收集箱\图片\三体\红岸基地.jpg,4,3,19,1,None,17,001,2018_Dec_25_2253,toast,3.0.0b13,60.23160617270457,
