conditions,image_file,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_response_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
3,D:\收集箱\图片\三体\三体.jpg,0,0,0,2,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
2,D:\收集箱\图片\三体\红岸基地.jpg,0,1,1,1,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
1,D:\收集箱\图片\三体\timg.jpg,0,2,2,0,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
4,D:\收集箱\图片\三体\三体2.png,0,3,3,3,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
1,D:\收集箱\图片\三体\timg.jpg,1,0,4,0,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
4,D:\收集箱\图片\三体\三体2.png,1,1,5,3,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
2,D:\收集箱\图片\三体\红岸基地.jpg,1,2,6,1,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
3,D:\收集箱\图片\三体\三体.jpg,1,3,7,2,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
1,D:\收集箱\图片\三体\timg.jpg,2,0,8,0,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
2,D:\收集箱\图片\三体\红岸基地.jpg,2,1,9,1,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
4,D:\收集箱\图片\三体\三体2.png,2,2,10,3,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
3,D:\收集箱\图片\三体\三体.jpg,2,3,11,2,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
4,D:\收集箱\图片\三体\三体2.png,3,0,12,3,None,2,001,2018_Dec_25_2324,toast,3.0.0b13,59.979277836123266,
