conditions,image_file,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,key_response_2.keys,key_response_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,D:\收集箱\图片\三体\timg.jpg,0,0,0,0,space,5.918275969364913,1,001,2018_Dec_26_0027,toast,3.0.0b13,59.85881834453204,
2,D:\收集箱\图片\三体\红岸基地.jpg,0,1,1,1,space,3.6691189814009704,1,001,2018_Dec_26_0027,toast,3.0.0b13,59.85881834453204,
