conditions,image_file,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,key_response_2.keys,key_response_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
2,D:\收集箱\图片\三体\红岸基地.jpg,0,0,0,1,,,,,space,0.1509159885754343,,,39,001,2018_Dec_26_0039,toast,3.0.0b13,59.963434288097325,
1,D:\收集箱\图片\三体\timg.jpg,0,1,1,0,,,,,space,0.3007824891828932,,,39,001,2018_Dec_26_0039,toast,3.0.0b13,59.963434288097325,
3,D:\收集箱\图片\三体\三体.jpg,0,2,2,2,,,,,space,0.7341160349315032,,,39,001,2018_Dec_26_0039,toast,3.0.0b13,59.963434288097325,
4,D:\收集箱\图片\三体\三体2.png,0,3,3,3,,,,,space,0.7007898034353275,,,39,001,2018_Dec_26_0039,toast,3.0.0b13,59.963434288097325,
,,,,,,0,0,0,0,,,space,0.5344462302164175,39,001,2018_Dec_26_0039,toast,3.0.0b13,59.963434288097325,
